id,name,category,leetcode_url,leetcode_difficulty,status,first_completed,last_reviewed,next_review,review_count,difficulty_history,notes
1,Contains Duplicate,Arrays & Hashing,https://leetcode.com/problems/contains-duplicate/,Easy,under_review,2025-09-04T05:02:58.598Z,2025-09-28T17:25:54.105Z,2025-10-01T07:00:00.000Z,2,"easy,easy",
2,Valid Anagram,Arrays & Hashing,https://leetcode.com/problems/valid-anagram/,Easy,under_review,2025-09-04T05:03:08.820Z,2025-09-27T03:42:19.216Z,2025-09-29T07:00:00.000Z,2,"easy,easy",
3,Two Sum,Arrays & Hashing,https://leetcode.com/problems/two-sum/,Easy,not_started,,,,0,,
4,Group Anagrams,Arrays & Hashing,https://leetcode.com/problems/group-anagrams/,Medium,under_review,2025-09-04T05:56:10.151Z,2025-09-28T17:35:10.187Z,2025-10-01T07:00:00.000Z,2,"hard,easy",
5,Top K Frequent Elements,Arrays & Hashing,https://leetcode.com/problems/top-k-frequent-elements/,Medium,under_review,2025-09-07T23:24:11.379Z,2025-09-27T03:43:01.282Z,2025-09-29T07:00:00.000Z,2,"easy,easy",Easily solved with hashmap. Need to practice with heap or bucketsort
6,Encode and Decode Strings,Arrays & Hashing,https://leetcode.com/problems/encode-and-decode-strings/,Medium,not_started,,,,0,,
7,Product of Array Except Self,Arrays & Hashing,https://leetcode.com/problems/product-of-array-except-self/,Medium,not_started,,,,0,,
8,Valid Sudoku,Arrays & Hashing,https://leetcode.com/problems/valid-sudoku/,Medium,not_started,,,,0,,
9,Longest Consecutive Sequence,Arrays & Hashing,https://leetcode.com/problems/longest-consecutive-sequence/,Hard,not_started,,,,0,,
10,Valid Palindrome,Two Pointers,https://leetcode.com/problems/valid-palindrome/,Easy,under_review,2025-09-04T05:03:54.250Z,2025-09-04T05:03:54.250Z,2025-09-04T07:00:00.000Z,1,medium,
11,Two Sum II Input Array Is Sorted,Two Pointers,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Easy,under_review,2025-09-04T05:08:24.833Z,2025-09-04T05:08:24.833Z,2025-09-04T07:00:00.000Z,1,easy,
12,3Sum,Two Pointers,https://leetcode.com/problems/3sum/,Medium,not_started,,,,0,,
13,Container With Most Water,Two Pointers,https://leetcode.com/problems/container-with-most-water/,Medium,not_started,,,,0,,
14,Trapping Rain Water,Two Pointers,https://leetcode.com/problems/trapping-rain-water/,Hard,not_started,,,,0,,
15,Best Time to Buy And Sell Stock,Sliding Window,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,under_review,2025-09-04T05:02:39.048Z,2025-09-28T17:40:56.275Z,2025-10-05T07:00:00.000Z,3,"easy,easy,easy",
16,Longest Substring Without Repeating Characters,Sliding Window,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,under_review,2025-09-04T05:02:37.445Z,2025-09-07T20:56:45.763Z,2025-09-10T07:00:00.000Z,2,"medium,easy","Tricky, took time to get right"
17,Longest Repeating Character Replacement,Sliding Window,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,under_review,2025-09-07T22:02:10.728Z,2025-09-07T22:02:10.728Z,2025-09-08T07:00:00.000Z,1,hard,"Initially came up with recursive backtracking approach, should be sliding window"
18,Permutation In String,Sliding Window,https://leetcode.com/problems/permutation-in-string/,Medium,under_review,2025-09-10T08:01:46.569Z,2025-09-10T08:01:46.569Z,2025-09-11T07:00:00.000Z,1,easy,
19,Minimum Window Substring,Sliding Window,https://leetcode.com/problems/minimum-window-substring/,Hard,not_started,,,,0,,
20,Sliding Window Maximum,Sliding Window,https://leetcode.com/problems/sliding-window-maximum/,Hard,not_started,,,,0,,
21,Valid Parentheses,Stack,https://leetcode.com/problems/valid-parentheses/,Easy,under_review,2025-09-04T05:20:36.376Z,2025-09-04T05:20:36.376Z,2025-09-04T07:00:00.000Z,1,easy,
22,Min Stack,Stack,https://leetcode.com/problems/min-stack/,Medium,under_review,2025-09-04T05:38:51.078Z,2025-09-04T05:38:51.078Z,2025-09-04T07:00:00.000Z,1,easy,"Was a challenge, but got it first try"
23,Evaluate Reverse Polish Notation,Stack,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,under_review,2025-09-21T02:01:25.835Z,2025-09-21T02:01:25.835Z,2025-09-21T07:00:00.000Z,1,easy,
24,Generate Parentheses,Stack,https://leetcode.com/problems/generate-parentheses/,Medium,not_started,,,0,0,,
25,Daily Temperatures,Stack,https://leetcode.com/problems/daily-temperatures/,Medium,not_started,,,0,0,,
26,Car Fleet,Stack,https://leetcode.com/problems/car-fleet/,Medium,under_review,2025-09-25T05:10:36.253Z,2025-09-25T05:10:36.253Z,2025-09-25T07:00:00.000Z,1,easy,
27,Largest Rectangle In Histogram,Stack,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,not_started,,,0,0,,
28,Binary Search,Binary Search,https://leetcode.com/problems/binary-search/,Easy,under_review,2025-09-04T05:54:25.747Z,2025-09-04T05:54:25.747Z,2025-09-04T07:00:00.000Z,1,medium,
29,Search a 2D Matrix,Binary Search,https://leetcode.com/problems/search-a-2d-matrix/,Medium,under_review,2025-09-25T04:03:42.110Z,2025-09-25T04:03:42.110Z,2025-09-25T07:00:00.000Z,1,medium,
30,Koko Eating Bananas,Binary Search,https://leetcode.com/problems/koko-eating-bananas/,Medium,under_review,2025-09-25T04:45:50.590Z,2025-09-25T04:45:50.590Z,2025-09-25T07:00:00.000Z,1,easy,
31,Find Minimum In Rotated Sorted Array,Binary Search,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,not_started,,,0,0,,
32,Search In Rotated Sorted Array,Binary Search,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,not_started,,,0,0,,
33,Time Based Key Value Store,Binary Search,https://leetcode.com/problems/time-based-key-value-store/,Medium,not_started,,,0,0,,
34,Median of Two Sorted Arrays,Binary Search,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,not_started,,,0,0,,
35,Reverse Linked List,Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,under_review,2025-09-06T06:01:27.552Z,2025-09-06T06:01:27.552Z,2025-09-06T07:00:00.000Z,1,medium,
